0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,10,Aurora,de_nuke,11,NRG,A,-25.0,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
0,0,10,Aurora,de_nuke,11,NRG,A,-25.0,,,,,,woxic,,,,,,0,,,[],,,,0,0,0,0,False
0,0,10,NRG,de_nuke,11,NRG,A,-25.0,,,,,,Jeorge,,,,,,2,,,[],,,,1,5,0,0,False
0,0,10,Aurora,de_nuke,11,NRG,A,-25.0,,,,,,Wicadia,,,,,,1,,,[],,,,1,5,0,0,False
0,0,10,Aurora,de_nuke,11,NRG,A,-25.0,,,,,,MAJ3R,,,,,,0,,,[],,,,0,0,0,0,False
0,0,10,NRG,de_nuke,11,NRG,A,-25.0,,,,,,br0,,,,,,1,,,[],,,,2,0,0,0,False
0,0,10,NRG,de_nuke,11,NRG,A,-25.0,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,10,Aurora,de_nuke,11,NRG,A,-25.0,,,,,,XANTARES,,,,,,0,,,[],,,,0,0,0,0,False
0,0,11,NRG,de_nuke,12,NRG,B,85.46875,,,,,,oSee,,,,,,2,,,[],,,,0,2,0,0,False
0,0,11,NRG,de_nuke,12,NRG,B,85.46875,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,11,Aurora,de_nuke,12,NRG,B,85.46875,,,,,,jottAAA,,,,,,1,,,[],,,,1,0,0,0,False
0,0,11,Aurora,de_nuke,12,NRG,B,85.46875,,,,,,woxic,,,,,,0,,,[],,,,0,1,0,0,False
0,0,11,NRG,de_nuke,12,NRG,B,85.46875,,,,,,Jeorge,,,,,,1,,,[],,,,1,2,0,0,False
0,0,11,Aurora,de_nuke,12,NRG,B,85.46875,,,,,,Wicadia,,,,,,0,,,[],,,,0,1,0,0,False
0,0,11,Aurora,de_nuke,12,NRG,B,85.46875,,,,,,MAJ3R,,,,,,1,,,[],,,,0,1,0,0,False
0,0,11,NRG,de_nuke,12,NRG,B,85.46875,,,,,,br0,,,,,,2,,,[],,,,2,3,2,0,False
0,0,11,NRG,de_nuke,12,NRG,B,85.46875,,,,,,nitr0,,,,,,0,,,[],,,,0,1,1,1,False
0,0,11,Aurora,de_nuke,12,NRG,B,85.46875,,,,,,XANTARES,,,,,,0,,,[],,,,0,1,0,0,False
0,0,12,NRG,de_nuke,13,NRG,B,-237.421875,,,,,,oSee,,,,,,0,,,[],,,,0,0,1,0,False
0,0,12,NRG,de_nuke,13,NRG,B,-237.421875,,,,,,HexT,,,,,,0,,,[],,,,0,1,0,0,False
0,0,12,Aurora,de_nuke,13,NRG,B,-237.421875,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
0,0,12,Aurora,de_nuke,13,NRG,B,-237.421875,,,,,,woxic,,,,,,0,,,[],,,,0,0,0,0,False
0,0,12,NRG,de_nuke,13,NRG,B,-237.421875,,,,,,Jeorge,,,,,,1,,,[],,,,1,3,0,0,False
0,0,12,Aurora,de_nuke,13,NRG,B,-237.421875,,,,,,Wicadia,,,,,,2,,,[],,,,2,3,0,0,False
0,0,12,Aurora,de_nuke,13,NRG,B,-237.421875,,,,,,MAJ3R,,,,,,0,,,[],,,,0,1,0,0,False
0,0,12,NRG,de_nuke,13,NRG,B,-237.421875,,,,,,br0,,,,,,0,,,[],,,,0,1,0,0,False
0,0,12,NRG,de_nuke,13,NRG,B,-237.421875,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,12,Aurora,de_nuke,13,NRG,B,-237.421875,,,,,,XANTARES,,,,,,3,,,[],,,,3,2,1,0,False
0,0,13,NRG,de_nuke,14,NRG,B,-25.0,,,,,,oSee,,,,,,0,,,[],,,,0,0,0,0,False
0,0,13,NRG,de_nuke,14,NRG,B,-25.0,,,,,,HexT,,,,,,0,,,[],,,,2,0,0,0,False
0,0,13,Aurora,de_nuke,14,NRG,B,-25.0,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
