,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_high,sorted
15884,"frozenset({'AK-47_2', 'AK-47_1', 'MP9_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.0014114326040931546,1.0,2.001412429378531,1.0,0.0007062143375455516,inf,0.501060070671378,0.002824858757062147,1.0,0.501412429378531,"frozenset({'AK-47_2', 'AWP_1', 'MP9_1', 'M4A1-S_1'})","AK-47_2, AWP_1, M4A1-S_1, MP9_1"
10449,"frozenset({'M4A1-S_2', 'AK-47_2', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.019054340155257588,0.49964714184897674,0.012702893436838392,0.6666666666666666,1.3342749529190205,1.0,0.0031824468384457506,1.5010585744530696,0.25539568345323743,0.025104602510460247,0.3338034790785142,0.346045197740113,"frozenset({'M4A1-S_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, M4A1-S_2"
15865,"frozenset({'M4A1-S_2', 'AK-47_2', 'AK-47_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.019054340155257588,0.49964714184897674,0.012702893436838392,0.6666666666666666,1.3342749529190205,1.0,0.0031824468384457506,1.5010585744530696,0.25539568345323743,0.025104602510460247,0.3338034790785142,0.346045197740113,"frozenset({'M4A1-S_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, M4A1-S_2"
8826,"frozenset({'M4A1-S_2', 'AK-47_2', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.019054340155257588,0.49964714184897674,0.012702893436838392,0.6666666666666666,1.3342749529190205,1.0,0.0031824468384457506,1.5010585744530696,0.25539568345323743,0.025104602510460247,0.3338034790785142,0.346045197740113,"frozenset({'M4A1-S_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, M4A1-S_2"
8839,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'M4A4_1'})",frozenset({'win'}),0.030698659139026113,0.49964714184897674,0.021524347212420608,0.7011494252873564,1.4032891746217286,1.0,0.006185849915010241,1.6742576407361165,0.29649035908024846,0.042302357836338414,0.4027203605531508,0.37211426066627706,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_1'})","AK-47_2, AWP_1, M4A4_1"
15895,"frozenset({'AK-47_2', 'M4A4_2', 'AK-47_1', 'AWP_1', 'M4A4_1'})",frozenset({'win'}),0.0067043048694424845,0.49964714184897674,0.0045871559633027525,0.6842105263157895,1.3693874516800475,1.0,0.0012373691972016381,1.5844507174782405,0.2715671539827845,0.009142053445850912,0.3688664538638557,0.34669565863812074,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_2'})","AK-47_2, AWP_1, M4A4_2"
10460,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_1', 'M4A4_2'})",frozenset({'win'}),0.0067043048694424845,0.49964714184897674,0.0045871559633027525,0.6842105263157895,1.3693874516800475,1.0,0.0012373691972016381,1.5844507174782405,0.2715671539827845,0.009142053445850912,0.3688664538638557,0.34669565863812074,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_2'})","AK-47_2, AWP_1, M4A4_2"
8847,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'M4A4_2'})",frozenset({'win'}),0.0067043048694424845,0.49964714184897674,0.0045871559633027525,0.6842105263157895,1.3693874516800475,1.0,0.0012373691972016381,1.5844507174782405,0.2715671539827845,0.009142053445850912,0.3688664538638557,0.34669565863812074,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_2'})","AK-47_2, AWP_1, M4A4_2"
8853,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'MAC-10_1'})",frozenset({'win'}),0.008115737473535639,0.49964714184897674,0.006351446718419196,0.782608695652174,1.5663227708179808,1.0,0.0022964416857704784,2.3016231474947073,0.36452033677220447,0.012667135819845177,0.5655240080946833,0.3976602800294768,"frozenset({'AK-47_2', 'AWP_1', 'MAC-10_1'})","AK-47_2, AWP_1, MAC-10_1"
8859,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'MP7_1'})",frozenset({'win'}),0.0007057163020465773,0.49964714184897674,0.0007057163020465773,1.0,2.001412429378531,1.0,0.0003531071687727758,inf,0.5007062146892655,0.0014124293785310737,1.0,0.5007062146892656,"frozenset({'AK-47_2', 'AWP_1', 'MP7_1'})","AK-47_2, AWP_1, MP7_1"
